#      x          Cp  
     1.00000    0.29256
     0.99837    0.23128
     0.99398   -0.00141
     0.98753   -0.34375
     0.97908   -0.57086
     0.96811   -0.59733
     0.95437   -0.56956
     0.93796   -0.57885
     0.91898   -0.59555
     0.89754   -0.60824
     0.87376   -0.62151
     0.84779   -0.64213
     0.81980   -0.66882
     0.78997   -0.69678
     0.75851   -0.72823
     0.72561   -0.76720
     0.69151   -0.80771
     0.65642   -0.85462
     0.62058   -0.90838
     0.58423   -0.96698
     0.54763   -1.03736
     0.51105   -1.11807
     0.47473   -1.21137
     0.43891   -1.31185
     0.40378   -1.41634
     0.36955   -1.54950
     0.33652   -1.68870
     0.30456   -1.75455
     0.27347   -1.78816
     0.24341   -1.81642
     0.21445   -1.83697
     0.18681   -1.88069
     0.16069   -1.93470
     0.13622   -1.96985
     0.11351   -2.01702
     0.09269   -2.07108
     0.07388   -2.12323
     0.05719   -2.20096
     0.04282   -2.25364
     0.03068   -2.12418
     0.02054   -1.90343
     0.01239   -1.66932
     0.00626   -1.37763
     0.00217   -1.02600
     0.00016   -0.53359
     0.00023   -0.09513
     0.00337    0.91365
     0.01034    0.96803
     0.02071    0.85485
     0.03417    0.73791
     0.05052    0.63972
     0.06959    0.56094
     0.09118    0.49538
     0.11512    0.44069
     0.14119    0.39466
     0.16911    0.35318
     0.19906    0.35522
     0.23157    0.38463
     0.26670    0.40772
     0.30427    0.43031
     0.34404    0.45056
     0.38575    0.47008
     0.42909    0.48743
     0.47370    0.50344
     0.51919    0.51763
     0.56515    0.53088
     0.61113    0.54208
     0.65666    0.55250
     0.70127    0.56153
     0.74446    0.56973
     0.78575    0.57634
     0.82465    0.58266
     0.86071    0.58731
     0.89349    0.59193
     0.92255    0.59488
     0.94754    0.60026
     0.96791    0.58242
     0.98299    0.51557
     0.99284    0.44207
     0.99828    0.38507
     1.00000    0.29256
