#      x          Cp  
     1.00000    0.30649
     0.99837    0.24404
     0.99398    0.01248
     0.98753   -0.32904
     0.97908   -0.55821
     0.96811   -0.58866
     0.95437   -0.56565
     0.93796   -0.57921
     0.91898   -0.60004
     0.89754   -0.61713
     0.87376   -0.63503
     0.84779   -0.66039
     0.81980   -0.69208
     0.78997   -0.72535
     0.75851   -0.76247
     0.72561   -0.80759
     0.69151   -0.85467
     0.65642   -0.90880
     0.62058   -0.97052
     0.58423   -1.03789
     0.54763   -1.11823
     0.51105   -1.21024
     0.47473   -1.31649
     0.43891   -1.43159
     0.40378   -1.55241
     0.36955   -1.70539
     0.33652   -1.86707
     0.30456   -1.95276
     0.27347   -2.00582
     0.24341   -2.05508
     0.21445   -2.09827
     0.18681   -2.16958
     0.16069   -2.25600
     0.13622   -2.32599
     0.11351   -2.41488
     0.09269   -2.51881
     0.07388   -2.62984
     0.05719   -2.78343
     0.04282   -2.92493
     0.03068   -2.86500
     0.02054   -2.70876
     0.01239   -2.55647
     0.00626   -2.35711
     0.00217   -2.12190
     0.00016   -1.70126
     0.00023   -1.62596
     0.00337    0.37836
     0.01034    0.98579
     0.02071    0.97779
     0.03417    0.89285
     0.05052    0.80101
     0.06959    0.71804
     0.09118    0.64532
     0.11512    0.58234
     0.14119    0.52788
     0.16911    0.47863
     0.19906    0.46663
     0.23157    0.48025
     0.26670    0.49110
     0.30427    0.50337
     0.34404    0.51505
     0.38575    0.52723
     0.42909    0.53838
     0.47370    0.54902
     0.51919    0.55859
     0.56515    0.56779
     0.61113    0.57546
     0.65666    0.58275
     0.70127    0.58899
     0.74446    0.59468
     0.78575    0.59906
     0.82465    0.60332
     0.86071    0.60612
     0.89349    0.60901
     0.92255    0.61036
     0.94754    0.61409
     0.96791    0.59551
     0.98299    0.52909
     0.99284    0.45628
     0.99828    0.39905
     1.00000    0.30649
