testfoil
 1.000000    -0.000000
 0.975000    0.009804
 0.950000    0.019229
 0.925000    0.028292
 0.900001    0.037007
 0.875003    0.045382
 0.850006    0.053423
 0.825013    0.061132
 0.800026    0.068507
 0.775047    0.075546
 0.750080    0.082240
 0.725129    0.088582
 0.700199    0.094562
 0.675297    0.100167
 0.650430    0.105384
 0.625608    0.110197
 0.600839    0.114593
 0.576136    0.118555
 0.551512    0.122068
 0.526981    0.125114
 0.502560    0.127680
 0.478267    0.129750
 0.454123    0.131310
 0.430149    0.132347
 0.406370    0.132851
 0.382813    0.132812
 0.359505    0.132224
 0.336479    0.131081
 0.313768    0.129382
 0.291409    0.127127
 0.269440    0.124320
 0.247903    0.120970
 0.226844    0.117087
 0.206308    0.112689
 0.186348    0.107794
 0.167017    0.102427
 0.148373    0.096620
 0.130475    0.090405
 0.113388    0.083825
 0.097179    0.076926
 0.081920    0.069760
 0.067685    0.062387
 0.054553    0.054872
 0.042607    0.047288
 0.031933    0.039716
 0.022623    0.032243
 0.014770    0.024964
 0.008476    0.017984
 0.003843    0.011414
 0.000980    0.005376
 0.000000    0.000000
 0.000980    -0.004981
 0.003843    -0.009849
 0.008476    -0.014507
 0.014770    -0.018869
 0.022623    -0.022860
 0.031933    -0.026420
 0.042607    -0.029500
 0.054553    -0.032060
 0.067685    -0.034073
 0.081920    -0.035520
 0.097179    -0.036392
 0.113388    -0.036687
 0.130475    -0.036414
 0.148373    -0.035588
 0.167017    -0.034230
 0.186348    -0.032368
 0.206308    -0.030037
 0.226844    -0.027276
 0.247903    -0.024127
 0.269440    -0.020640
 0.291409    -0.016865
 0.313768    -0.012856
 0.336479    -0.008670
 0.359505    -0.004365
 0.382813    0.000000
 0.406370    0.004365
 0.430149    0.008670
 0.454123    0.012856
 0.478267    0.016865
 0.502560    0.020640
 0.526981    0.024127
 0.551512    0.027276
 0.576136    0.030037
 0.600839    0.032368
 0.625608    0.034230
 0.650430    0.035588
 0.675297    0.036414
 0.700199    0.036687
 0.725129    0.036392
 0.750080    0.035520
 0.775047    0.034073
 0.800026    0.032060
 0.825013    0.029500
 0.850006    0.026420
 0.875003    0.022860
 0.900001    0.018869
 0.925000    0.014507
 0.950000    0.009849
 0.975000    0.004981
 1.000000    -0.000000
